_id,video_id,video_title,video_description,video_tag,video_length,video_likes,channel_title,__v
67543aa82442a0b834eca28f,rSohL4gWm9A,20-Minute Total Arms Workout - No Equipment With Warm Up at Home | Sweat with SELF,Fitness instructors LaToya and Julius guide us in a 20 minute arm workout and warm-up focusing on opening up your shoulders ...,팔 홈트레이닝 | Arms Home Training,1272,5066,SELF,0
67543aa82442a0b834eca290,UozZ7aAlfac,홈트레이닝 - 날씬 팔 만들기 운동 home training- arm workout,팔운동 #개인운동 #홈트레이닝 #날씬팔 #만들기 #운동 #exercise #fitness#workout.,팔 홈트레이닝 | Arms Home Training,224,3,Run to Gina ,0
67543aa82442a0b834eca291,kfP_9z-BtmA,5 MIN TONED ARMS WORKOUT - No Equipment,Do this 5 minute arms workout challenge #WithMe ! No equipment needed. The goal is to not drop your arms the entire 5 minutes.,팔 홈트레이닝 | Arms Home Training,403,167936,MadFit,0
67543aa82442a0b834eca292,Gck0QThmfCw,한팔 물구나무 홈트레이닝  | Onearmhandstand hometraining,올해 목표 한손물구나무!! 단계별 목표 설정 후 연습중이다. 현재 3단계 도달하여 영상 기록한다. 1단계. 자유물구나무 1분 2단계.,팔 홈트레이닝 | Arms Home Training,28,47,BRavoJK우공비야,0
67543aa82442a0b834eca293,Alw4VG6Uijc,홈트 VS 헬스장  조명 차이 ?? home training VS gym,,팔 홈트레이닝 | Arms Home Training,6,57,Big며루찌,0
67543aa82442a0b834eca294,bbL0Gjwrr_o,미니원판 달고 가로본능 #홈트레이닝 #hometraining #가로본능 #sidelever #오운완,미니 원판(5kg) 매달고 가로본능하기.,팔 홈트레이닝 | Arms Home Training,8,41,Gym승Hell 짐승헬,0
67543aa82442a0b834eca295,zOTdzqyM9v4,"[후니의 홈트레이닝] 초보 팔굽혀펴기 하는 방법,  home training program_how to do push up",팔굽혀펴기 방법에 대해 이야기해 보았습니다. 운동 초보자 분들에게 도움이 되었으면 합니다~ 맘에 드시면 좋아요랑 댓글 남겨주세요 ...,팔 홈트레이닝 | Arms Home Training,485,78,Fitness of HooN,0
67543aa82442a0b834eca296,RVTfIfox9EY,TONE YOUR ARMS Workout - QUICK &amp; INTENSE (No Equipment),"A quick, but intense 10 min workout to TONE YOUR ARMS with no equipment or weights needed! You can do this workout at ...",팔 홈트레이닝 | Arms Home Training,791,74326,MadFit,0
67543aa82442a0b834eca297,UyWsAwGQqSw,Impressive Move #gymlife #impress #respect,"Dear all viewers, Watch our Fitness Videos. thank you GYM MOTIVATION, gym workouts, fitness, fitness workouts, workouts at ...",팔 홈트레이닝 | Arms Home Training,48,7,Trendy Fitness,0
67543aa82442a0b834eca298,puLJaNv9m18,Toned Arms Workout | 15 min Upper Body Burn,"New 15 mins Upper Body Workout with dumbbell! Hope you like this workout. If you have any questions regarding the workout, ...",팔 홈트레이닝 | Arms Home Training,935,227171,Chloe Ting,0
